Freq,f_O,f_X,Flux,a_O,a_X,e_O,e_X,rc,Q,V
2.7990543,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,NaN,NaN
2.8642526,3.7659114,0.0000000,3.7659114,4.4899393e-10,0.0000000,5.2153543e-19,0.0000000,-1.0000000,-3.7343604e-19,4.8645786e-20
2.9309696,10.317228,0.0000000,10.317228,1.4065018e-09,0.0000000,1.4977777e-18,0.0000000,-1.0000000,-9.9837859e-19,2.6017728e-19
2.9992407,16.837328,0.0000000,16.837328,2.5932771e-09,0.0000000,2.5886279e-18,0.0000000,-1.0000000,-1.5680874e-18,6.1323575e-19
3.0691020,22.468310,0.0000000,22.468310,3.7956158e-09,0.0000000,3.6566865e-18,0.0000000,-1.0000000,-1.9919955e-18,1.0393285e-18
3.1405905,28.087022,0.0000000,28.087022,5.4581733e-09,0.0000000,4.9357276e-18,0.0000000,-1.0000000,-2.3520227e-18,1.5351864e-18
3.2137443,32.382894,0.0000000,32.382894,6.9668016e-09,0.0000000,6.0890644e-18,0.0000000,-1.0000000,-2.5484328e-18,1.9980012e-18
3.2886020,36.284574,0.0000000,36.284574,8.9955593e-09,0.0000000,7.4509740e-18,0.0000000,-1.0000000,-2.6759804e-18,2.4504758e-18
3.3652034,39.522874,0.0000000,39.522874,1.1198182e-08,0.0000000,8.8972361e-18,0.0000000,-1.0000000,-2.7285293e-18,2.8593186e-18
3.4435890,41.844961,0.0000000,41.844961,1.3725094e-08,0.0000000,1.0418656e-17,0.0000000,-1.0000000,-2.7044423e-18,3.1931175e-18
3.5238005,43.710040,0.0000000,43.710040,1.7210993e-08,0.0000000,1.2407244e-17,0.0000000,-1.0000000,-2.6470020e-18,3.4783698e-18
3.6058804,44.563090,0.0000000,44.563090,2.0788065e-08,0.0000000,1.4339075e-17,0.0000000,-1.0000000,-2.5321689e-18,3.6669893e-18
3.6898721,44.502204,0.0000000,44.502204,2.6456432e-08,0.0000000,1.7162425e-17,0.0000000,-1.0000000,-2.3767318e-18,3.7623938e-18
3.7758203,43.738625,0.0000000,43.738625,3.2323695e-08,0.0000000,1.9933009e-17,0.0000000,-1.0000000,-2.1996343e-18,3.7805135e-18
3.8637705,41.812136,0.0000000,41.812136,4.1701731e-08,0.0000000,2.3983850e-17,0.0000000,-1.0000000,-1.9838371e-18,3.6806165e-18
3.9537691,39.537857,0.0000000,39.537857,5.2595115e-08,0.0000000,2.8308851e-17,0.0000000,-1.0000000,-1.7732308e-18,3.5338469e-18
4.0458643,36.876798,0.0000000,36.876798,6.7880600e-08,0.0000000,3.3938222e-17,0.0000000,-1.0000000,-1.5662633e-18,3.3385328e-18
4.1401046,33.630441,0.0000000,33.630441,9.0440316e-08,0.0000000,4.1195174e-17,0.0000000,-1.0000000,-1.3551414e-18,3.0779307e-18
4.2365400,30.858426,0.0000000,30.858426,1.1754307e-07,0.0000000,4.9121840e-17,0.0000000,-1.0000000,-1.1817111e-18,2.8506111e-18
4.3352217,27.705100,0.0000000,27.705100,1.5930054e-07,0.0000000,5.9769198e-17,0.0000000,-1.0000000,-1.0099240e-18,2.5798797e-18
4.4362019,24.325643,0.0000000,24.325643,2.2184332e-07,0.0000000,7.3082116e-17,0.0000000,-1.0000000,-8.4537730e-19,2.2809442e-18
4.5395344,21.126031,52.096893,73.222924,3.0714253e-07,3.1261795e-08,8.7873576e-17,2.3068326e-17,0.42296674,1.0275971e-18,-2.9216411e-18
4.6452738,17.969309,41.635415,59.604724,4.2495398e-07,2.3417166e-06,1.0341266e-16,1.3203761e-15,0.39705083,7.5070166e-19,-2.2443913e-18
4.7534760,14.897774,31.790345,46.688119,5.7543364e-07,1.4387630e-05,1.1609594e-16,6.1941956e-15,0.36181735,5.1292992e-19,-1.6095007e-18
4.8641987,12.176845,23.795088,35.971933,6.9832680e-07,6.7256441e-05,1.1515794e-16,2.1673129e-14,0.32298079,3.3809605e-19,-1.1115425e-18
4.9775006,10.417852,16.951762,27.369614,6.2351450e-07,0.00031967285,8.7968092e-17,7.3387318e-14,0.23872860,1.8242858e-19,-6.2740701e-19
5.0934413,30.009863,11.384465,41.394328,1.9954941e-07,0.0017449288,8.1098886e-17,2.6902383e-13,-0.44995048,-4.9945631e-19,1.7943238e-18
5.2120827,9.8105634,8.1582093,17.968773,5.5977201e-06,0.0086497264,7.4371329e-16,9.5564729e-13,-0.091956981,-4.2598115e-20,1.5965006e-19
5.3334880,8.5096445,7.7889806,16.298625,2.7792218e-05,0.017137003,3.2028386e-15,1.8076566e-12,-0.044216242,-1.7877698e-20,6.9813704e-20
